Wall time,Step,Value
1604346796.340255,50,0.3291666507720947
1604347282.356493,100,0.33541667461395264
1604347767.958711,150,0.3333333432674408
1604348242.88722,200,0.3333333432674408
1604348717.482435,250,0.3333333432674408
1604349187.570206,300,0.3333333432674408
1604349660.629471,350,0.3333333432674408
1604350126.989442,400,0.34166669845581055
1604350595.688848,450,0.3333333432674408
1604351064.387645,500,0.33541667461395264
1604351533.809519,550,0.33541667461395264
1604352006.471995,600,0.34583336114883423
1604352473.467571,650,0.3437500298023224
1604352941.576315,700,0.3125
1604353403.240582,750,0.33541667461395264
1604353869.163817,800,0.32083332538604736
1604354330.836804,850,0.3333333432674408
1604354792.207239,900,0.3437500298023224
1604355259.06264,950,0.3604166805744171
1604355721.202772,1000,0.34166666865348816
1604356180.776349,1050,0.3500000238418579
1604356638.732968,1100,0.3291666805744171
1604357103.533071,1150,0.3291666507720947
1604357564.335142,1200,0.34166669845581055
1604358034.070094,1250,0.3645833432674408
1604358493.54615,1300,0.3270833492279053
1604358952.371078,1350,0.3333333432674408
1604359419.741538,1400,0.3479166626930237
1604359896.176472,1450,0.3812500238418579
1604360366.149932,1500,0.34375
1604360831.62475,1550,0.3604166507720947
1604361294.61649,1600,0.33541667461395264
1604361756.781973,1650,0.34166669845581055
1604362215.535287,1700,0.38333335518836975
1604362684.624054,1750,0.3708333373069763
1604363143.402046,1800,0.32083335518836975
1604363606.042112,1850,0.3687500059604645
1604364065.653537,1900,0.3500000238418579
